Word,CGEL,CGEL subcat,UD,Ex,CGEL p.,Notes
sunwards,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
supposing,P,,VERB,,,
ta,,,PART,,1616,"morpheme, not word"
take away,P,,VERB + ADP,9 take away 4,,
than,P,,ADP,,,
than,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
thanks,Int,,NOUN,,,
thanks,N,,NOUN,,,
thanks,P,,NOUN,"thanks to your help, ",,
thanks,V,,VERB,,,
that,D,,DET,that person,373,
that,D,,PRON,that is enough,373,fused determiner head
that,D,,ADV,not that stupid,373,
that,Subdr,,ADV,no way that one can live,,Error?
that,Subdr,,SCONJ,,,
that,Subdr,,PRON,an idea that works,,relative clauses
the,D,,DET,,,
thei,N,Pron,PRON,typo,,
theirs,N,Pron,PRON,,,
them,N,Pron,PRON,,,
themselves,N,Pron,PRON,,,
then,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
then,P,,SCONJ,spelling mistake for than,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
there,N,Pron,PRON,,,
there,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
thereby,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
these,D,,DET,these cases,373,
these,D,,PRON,these are,373,fused determiner head
they,N,Pron,PRON,,,
they're,N,Pron,PRON,typo for their,,
this,D,,DET,this case,373,
this,D,,PRON,this is,373,fused determiner head
this,D,,ADV,this much,373,
those,D,,DET,those cases,373,
those,D,,PRON,those are,373,fused determiner head
thou,N,Pron,PRON,,,
though,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
though,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
thrice,D,,ADV,,,
through,P,,ADP,,,
through,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
through,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
throughout,P,,ADP,,,
throughout,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
thy,N,Pron,PRON,,,
till,N,,NOUN,,,
till,P,,ADP,,,
till,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
till,V,,VERB,,,
times,N,,NOUN,,,
times,P,,ADP,,,
to,P,,ADP,,,
to,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
to,Subdr,,PART,want to do it,22,
together,Adj,,ADJ,,,
together,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
too,Adv,,PART,,,
touching,Adj,,ADJ,,,
touching,P,,VERB,,,
toward,P,,ADP,,,
toward,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
towards,P,,ADP,,,
towards,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
turning,P,,ADP,,,
twice,D,,ADV,,,
u,N,Pron,PRON,,,
unbeknown,P,,ADP,,,
unbeknownst,P,,ADP,,,
under,P,,ADP,,,
underfoot,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
underground,N,,NOUN,,,
underground,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
underneath,P,,ADP,,,
underneath,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
unless,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
unlike,Adj,,ADJ,,,
unlike,P,,ADP,,,
unlike,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
until,P,,ADP,,,
until,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
up,P,,ADP,,,
up,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
uphill,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
upon,P,,ADP,,,
upon,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
upstairs,N,,NOUN,,,
upstairs,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
upstream,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
upward,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
upwards,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
upwind,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
ur,N,Pron,PRON,,,
us,D,,PRON,us teachers,374,personal determinatives
us,N,Pron,PRON,us,,
use,N,,PRON,typo for us,,
various,Adj,,ADJ,"the various options, were various",,
various,D,,ADJ,"various of the, various times",,
versus,Coordinator,,CCONJ,,,
via,P,,ADP,,,
vis-à-vis,P,,ADP,,,
waht,N,Pron,PRON,typo for what,,
wanna,V,,VERB + PART,,1616,"morpheme, not word"
wanting,P,,VERB,,,
wasn't,V,Aux,VERB + PART,,91,"morpheme, not word"
we,D,,PRON,we teachers,374,personal determinatives
we,N,Pron,PRON,we,,
weren't,V,Aux,VERB + PART,,91,"morpheme, not word"
west,N,,NOUN,,,
west,P,,ADP,,,
westward,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
westwards,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
what,Adj,,DET,what a letdown,435,
what,D,,DET,what time,,
what,N,Pron,PRON,what,,
whatever,D,,DET,whatever time,,
whatever,N,Pron,PRON,whatever,,
when,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
when,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
whence,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
whenever,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
whenever,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
where,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
where,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
whereabouts,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
whereas,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
whereby,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
wherein,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
whereupon,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
wherever,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
which,D,,DET,interrogative,,
which,N,Pron,PRON,at which time (rel),,
whichever,D,,DET,interrogative,,
whichever,N,Pron,PRON,at whichever time (rel),,
while,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
who,N,Pron,PRON,,,
who's,N,Pron,PRON,typo for whose,,
whoever,N,Pron,PRON,,,
whom,N,Pron,PRON,,,
whomever,N,Pron,PRON,,,
whose,N,Pron,PRON,,,
will,V,Aux,AUX,,,
windward,P,,ADV,,597,"In general, intransitive CGEL-Ps seem to be treated as ADV"
with,P,,ADP,,,
with,P,,SCONJ,,597,"In general, CGEL-Ps with clausal complements seem to be treated as SCONJ, including participial clauses."
within,P,,ADP,,,
without,P,,ADP,,,
won't,V,Aux,VERB + PART,,91,"morpheme, not word"
would,V,Aux,AUX,,,
wouldn't,V,Aux,VERB + PART,,91,"morpheme, not word"
wtf,Int,,PRON,,,
ya,N,Pron,PRON,,,
ya'll,N,Pron,PRON,,,
ye,N,Pron,PRON,,,
yo,N,Pron,PRON,,,
you,D,,PRON,you teachers,374,personal determinatives
you,N,Pron,PRON,you,,
you're,N,Pron,PRON,typo for your,,
your,N,Pron,PRON,,,
yours,N,Pron,PRON,,,
yourself,N,Pron,PRON,,,
yourselves,N,Pron,PRON,,,
